id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
29136;Educação Física;8,58;4,07;6,34;1;20;Evadido;1;0;0;10
29138;Educação Física;7,48;1,93;5,38;1;8;Cursando;0;0;0;6
29141;Educação Física;8,33;6,33;7,26;1;16;Aluno Formado;0;0;0;10
29142;Educação Física;6;0,5;3,33;0;48;Cursando;0;1;0;8
29144;Educação Física;8,75;6,68;7,92;1;4;Cursando;0;0;0;8
29147;Educação Física;7,7;3,1;5,62;1;16;Cursando;0;0;0;10
29148;Educação Física;8,98;6,13;7,53;1;6;Evadido;1;1;0;10
29149;Educação Física;8,55;6,64;7,9;1;8;Cursando;0;0;0;10
29150;Educação Física;7,73;5;6,46;1;6;Cursando;0;0;0;10
29151;Educação Física;8,33;0,63;4,55;0;24;Cursando;0;0;0;10
29152;Educação Física;8,54;5,9;7,16;1;10;Outros;0;0;0;10
29153;Educação Física;8,03;5,75;7,3;1;16;Aluno Formado;0;1;0;10
29156;Educação Física;8,3;5;6,06;1;13;Cursando;0;0;0;8
29158;Educação Física;6,08;1;3,97;0;20;Cursando;0;1;0;8
29159;Matemática;7,43;0,13;3,54;0;14;Cursando;0;0;0;8
29163;Matemática;10;7,08;8,73;1;6;Aluno Formado;0;0;0;10
29164;Educação Física;5;0;2,81;0;40;Cursando;0;1;0;6
29165;Matemática;8,4;6,2;7,47;1;10;Aluno Formado;0;0;0;10
29169;Educação Física;8,87;6,5;8,06;1;4;Cursando;0;0;0;10
29170;Educação Física;9,35;6,7;8,35;1;14;Cursando;0;0;0;4
29172;Educação Física;7,98;0,45;4,21;0;28;Evadido;1;1;0;6
29174;Matemática;8,65;5;6,14;1;7;Cursando;0;1;0;8
29176;Matemática;8,62;5;6,99;1;4;Cursando;0;1;0;10
29177;Matemática;9;6,88;7,81;1;12;Aluno Formado;0;1;0;10
29180;Matemática;8,4;5,6;7,38;1;6;Cursando;0;1;0;10
29182;Matemática;7,88;5,51;6,82;1;10;Cursando;0;0;0;10
29183;Educação Física;8,08;5,13;6,4;1;4;Cursando;0;0;0;8
29184;Educação Física;6,16;3,11;5,01;1;20;Cursando;0;1;1;8
29186;Matemática;8,45;5,05;7,07;1;4;Cursando;0;1;0;10
29187;Educação Física;8,58;3,93;6,01;1;20;Aluno Formado;0;0;0;10
29188;Educação Física;8,15;5,34;6,42;1;10;Cursando;0;1;0;8
29189;Matemática;7,53;0,13;2,72;0;18;Cursando;0;1;0;6
29192;Matemática;5,5;0;3,58;0;16;Cursando;0;1;0;8
29193;Educação Física;8,83;6,38;7,89;1;10;Cursando;0;1;0;10
29200;Enfermagem;8,8;3,2;5,82;1;12;Cursando;0;1;0;8
29201;Matemática;8,28;1,24;4,09;0;18;Cursando;0;0;0;8
29203;Matemática;6,7;1,7;5,31;1;0;Cursando;0;0;0;8
29204;Matemática;5,95;1,8;4,38;0;18;Cursando;0;0;0;10
29209;Matemática;8,5;5,6;7,44;1;8;Aluno Formado;0;0;0;10
29211;Enfermagem;8,21;5;5,73;1;14;Cursando;0;0;0;8
29212;Matemática;8,28;6,18;7,54;1;10;Cursando;0;0;0;10
29213;Educação Física;8,8;3,1;5,52;1;4;Cursando;0;0;0;8
29215;Matemática;8,5;5;6,84;1;2;Cursando;0;1;0;10
29216;Matemática;7,9;0,5;4,23;0;10;Cursando;0;0;0;6
29218;Educação Física;8,15;3,85;6,01;1;8;Cursando;0;0;0;8
29220;Educação Física;9,43;7,58;8,51;1;8;Aluno Formado;0;0;0;10
29221;Matemática;6,32;0,25;3,24;0;12;Cursando;0;1;0;8
29224;Enfermagem;8,58;1,6;5,87;1;16;Cursando;0;1;0;8
29230;Letras;6,1;0,75;3,64;0;18;Cursando;0;0;0;4
29230;Matemática;6,1;0,75;3,64;0;18;Outros;0;0;0;8
29236;Matemática;8,9;6,78;7,75;1;10;Aluno Formado;0;0;0;10
29237;Matemática;6,35;1,25;4,21;0;16;Cursando;0;1;0;6
29238;Matemática;9,13;5,63;7,7;1;13;Aluno Formado;0;1;0;10
29239;Educação Física;8,7;6,47;7,83;1;8;Cursando;0;0;0;8
29242;Matemática;8,28;6,13;7,57;1;4;Cursando;0;0;0;10
29245;Matemática;8,28;3,53;6,31;1;8;Cursando;0;0;0;8
29246;Matemática;6,97;3,15;5,13;1;4;Cursando;0;1;0;10
29247;Matemática;8,53;6,28;7,5;1;8;Aluno Formado;0;1;0;10
29250;Letras;10;8,1;9,11;1;8;Cursando;0;0;0;8
29251;Letras;9,71;8,2;8,75;1;4;Outros;0;0;0;10
29252;Letras;8,25;6,67;7,77;1;14;Cursando;0;0;0;10
29254;Letras;8,9;6,6;7,87;1;8;Aluno Formado;0;0;0;10
29256;Letras;7,95;5,6;6,56;1;16;Aluno Formado;0;1;0;10
29258;Letras;8,6;6,8;7,92;1;12;Aluno Formado;0;1;0;10
29259;Letras;9,2;5,37;6,69;1;10;Cursando;0;0;0;9
29262;Letras;8,5;6,47;7,65;1;8;Aluno Formado;0;1;0;10
29264;Administração;8,2;5;6,28;1;10;Cursando;0;1;0;9
29266;Letras;9,44;7,89;8,76;1;25;Aluno Formado;0;0;0;10
29268;Letras;8,85;6,95;7,95;1;28;Aluno Formado;0;0;0;10
29269;Letras;8,45;6,65;7,25;1;28;Aluno Formado;0;1;0;10
29271;Letras;8,35;5,2;6,23;1;17;Cursando;0;0;0;6
